id,player_id,full_name,is_active
197,1641707,Taylor Hendricks,t
198,1629639,Tyler Herro,t
199,1627741,Buddy Hield,t
200,1629312,Haywood Highsmith,t
201,1628988,Aaron Holiday,t
202,201950,Jrue Holiday,t
203,1641842,Ronald Holland II,t
204,1626158,Richaun Holmes,t
205,1641747,DaRon Holmes II,t
206,1631096,Chet Holmgren,t
207,1641720,Jalen Hood-Schifino,t
208,201143,Al Horford,t
209,1629659,Talen Horton-Tucker,t
210,1631216,Caleb Houstan,t
211,1641724,Jett Howard,t
212,1628989,Kevin Huerter,t
213,1630643,Jay Huff,t
214,1630574,Ariel Hukporti,t
215,1629631,De'Andre Hunter,t
216,1630538,Bones Hyland,t
217,1642345,Oso Ighodaro,t
218,204060,Joe Ingles,t
219,1627742,Brandon Ingram,t
220,1631127,Harrison Ingram,t
221,202681,Kyrie Irving,t
222,1628371,Jonathan Isaac,t
223,1631093,Jaden Ivey,t
224,1641713,GG Jackson,t
225,1630543,Isaiah Jackson,t
226,1631245,Quenton Jackson,t
227,202704,Reggie Jackson,t
228,1641748,Andre Jackson Jr.,t
229,1628991,Jaren Jackson Jr.,t
230,1631218,Trayce Jackson-Davis,t
231,1642355,Bronny James,t
232,2544,LeBron James,t
233,1631170,Jaime Jaquez Jr.,t
234,1629610,DaQuan Jeffries,t
235,1641998,Trey Jemison III,t
236,1642450,Daniss Jenkins,t
237,1629660,Ty Jerome,t
238,1630198,Isaiah Joe,t
239,1642358,AJ Johnson,t
240,1629661,Cameron Johnson,t
241,1630552,Jalen Johnson,t
242,201949,James Johnson,t
243,1629640,Keldon Johnson,t
244,1630553,Keon Johnson,t
245,1642352,Keshad Johnson,t
246,203999,Nikola Jokić,t
247,1641732,Colby Jones,t
248,1641794,Dillon Jones,t
249,1630529,Herbert Jones,t
250,1642403,Isaac Jones,t
251,1630539,Kai Jones,t
252,1630222,Mason Jones,t
253,1642461,Spencer Jones,t
254,1630200,Tre Jones,t
255,1626145,Tyus Jones,t
256,1627884,Derrick Jones Jr.,t
257,201599,DeAndre Jordan,t
258,202709,Cory Joseph,t
259,1631107,Nikola Jović,t
260,1630548,Johnny Juzang,t
261,1642530,Yuki Kawamura,t
262,1628379,Luke Kennard,t
263,1631117,Walker Kessler,t
264,1630557,Corey Kispert,t
265,1628467,Maxi Kleber,t
266,1641752,Bobi Klintman,t
267,1642261,Dalton Knecht,t
268,1642278,Tyler Kolek,t
269,1631132,Christian Koloko,t
270,1629723,John Konchar,t
271,1628436,Luke Kornet,t
272,1630249,Vít Krejčí,t
273,1630228,Jonathan Kuminga,t
274,1628398,Kyle Kuzma,t
275,1631222,Jake LaRavia,t
276,203897,Zach LaVine,t
277,1629111,Jock Landale,t
278,1641796,Pelle Larsson,t
279,1630639,A.J. Lawson,t
280,1627747,Caris LeVert,t
281,1627814,Damion Lee,t
282,203458,Alex Len,t
283,202695,Kawhi Leonard,t
284,1642502,Malevy Leons,t
285,1641721,Maxwell Lewis,t
286,1630604,E.J. Liddell,t
287,203081,Damian Lillard,t
288,1641726,Dereck Lively II,t
289,1641753,Chris Livingston,t
290,1626172,Kevon Looney,t
291,201572,Brook Lopez,t
292,201567,Kevin Love,t
293,200768,Kyle Lowry,t
294,1626168,Trey Lyles,t
295,1630572,Sandro Mamukelashvili,t
296,1629611,Terance Mann,t
297,1630544,Tre Mann,t
298,1628374,Lauri Markkanen,t
299,1630230,Naji Marshall,t
300,1628997,Caleb Martin,t
301,1628998,Cody Martin,t
302,1641798,Jaylen Martin,t
303,1630231,KJ Martin,t
304,1631213,Tyrese Martin,t
305,1629726,Garrison Mathews,t
306,1631097,Bennedict Mathurin,t
307,1631255,Karlo Matković,t
308,1630178,Tyrese Maxey,t
309,1630540,Miles McBride,t
310,1642272,Jared McCain,t
311,1630644,Mac McClung,t
312,203468,CJ McCollum,t
313,204456,T.J. McConnell,t
314,1641755,Kevin McCullar Jr.,t
315,1630183,Jaden McDaniels,t
316,203926,Doug McDermott,t
317,1631121,Bryce McGowens,t
318,1629162,Jordan McLaughlin,t
319,1629098,Jack McVeigh,t
320,1629001,De'Anthony Melton,t
321,1630241,Sam Merrill,t
322,203995,Vasilije Micić,t
323,203114,Khris Middleton,t
324,1641706,Brandon Miller,t
325,1641801,Emanuel Miller,t
326,1641757,Jordan Miller,t
327,1631159,Leonard Miller,t
328,201988,Patty Mills,t
329,1629003,Shake Milton,t
330,1631303,Justin Minaya,t
331,1642434,Riley Minix,t
332,1631169,Josh Minott,t
333,1642274,Yves Missi,t
334,1642349,Ajay Mitchell,t
335,1630558,Davion Mitchell,t
336,1628378,Donovan Mitchell,t
337,1630596,Evan Mobley,t
338,1642367,Jonathan Mogbo,t
339,1628370,Malik Monk,t
340,1630541,Moses Moody,t
341,1631386,Taze Moore,t
342,1631111,Wendell Moore Jr.,t
343,1629630,Ja Morant,t
344,202693,Markieff Morris,t
345,1628420,Monté Morris,t
346,1630530,Trey Murphy III,t
347,1627749,Dejounte Murray,t
348,1627750,Jamal Murray,t
349,1631099,Keegan Murray,t
350,1631200,Kris Murray,t
351,1629004,Svi Mykhailiuk,t
352,1631250,Pete Nance,t
353,1626204,Larry Nance Jr.,t
354,1629614,Andrew Nembhard,t
